item_id,manage_number
2856348,A0076400
2856445,XR005402
2856604,FP018476
2856624,OU006372
2856640,EX013932
2856641,EX013933
2856642,EX013934
2856698,A0076515
2856758,EX013936
2856821,TW011900
2856867,DP005595
2856868,DP005596
2856898,RT011588
2857050,SU016046
2857158,A0076627
2857159,A0076628
2857354,A0076682
2857401,A0076693
2857402,A0076694
2857472,PH018370
2857473,PH018371
2857558,A0076754
2857559,A0076755
2857560,A0076756
2857595,A0076760
2857631,XI005922
2857762,GZ018511
2857810,A0076793
2857867,A0076827
2857891,AH007836
2858032,RT011615
2858184,YV009988
2858192,AI010092
2858261,VO004295
2858290,DV017756
2858295,WP009603
2858296,WP009604
2858298,WP009606
2858301,OU006381
2858302,OU006382
2858426,A0076986
2858434,GE017035
2858514,A0077006
2858573,A0077027
2858647,A0077053
2858673,AG008399
2858690,YY005079
2858777,A0077104
2858782,A0077109
2858784,A0077111
2858797,YC012086
2858847,A0077135
2858969,PX013768
2858994,A0077182
2859062,AC007409
2859084,RY011813
2859107,IY015841
2859258,HX019496
2859259,HX019497
2859347,A0077282
2859382,YA010504
2859434,XA007164
2859454,PI022306
2859568,A0077356
2859579,BJ008442
2859622,XA007171
2859738,AI010120
2859801,DP005608
2859941,VO004302
2859946,A0077434
2859947,A0077435
2859966,A0077438
2859976,A0077442
2860009,ID019395
2860026,FN015879
2860068,GM015671
2860072,GM015675
2860088,XP005367
2860138,A0077473
2860176,EN013886
2860241,EN013887
2860263,A0077497
2860306,HX019513
2860322,EN013889
2860329,A0077517
2860348,A0077522
2860360,A0077534
2860365,A0077539
2860389,BW007932
2860401,XP005372
2860422,NU024711
2860426,NU024715
2860489,A0077567
2860548,A0077578
2860583,BJ008452
2860674,WP009620
2860727,HX019516
2860741,FN015891
2860832,EE012570
2860849,ID019405
2860850,ID019406
2860976,YD011204
2860977,YD011205
2860989,WA011444
2861058,PX013777
2861092,DP005633
2861102,AW007675
2861149,EE012573
2861155,RX008922
2861172,OW007604
2861212,A0077777
2861230,A0077786
2861299,BW007951
2861306,BI005172
2861327,A0077807
2861457,A0077846
2861473,A0077848
2861575,A0077894
2861584,XV005239
2861642,XW003569
2861657,YZ023048
2861677,HZ016426
2861791,A0077930
2861795,RY011827
2861893,PX013809
2861998,HZ016428
2862067,A0078019
2862139,WB030360
2862207,XV005248
2862222,MC017064
2862312,A0078093
2862403,A0078144
2862404,A0078145
2862466,A0078179
2862493,RY011844
2862496,RY011847
2862497,RY011848
2862498,RY011849
2862531,WZ086022
2862532,WZ086023
2862533,WZ086024
2862534,WZ086025
2862535,WZ086026
2862536,WZ086027
2862537,WZ086028
2862538,WZ086029
2862539,WZ086030
2862609,AY005572
2862643,A0078238
2862658,XW003593
2862715,GE017062
2862719,EN013897
2862890,TU034737
2862898,FH023232
2862936,AH007862
2862966,GM015682
2863010,FH023235
2863032,YF009934
2863134,CR022999
2863233,VR004370
2863265,A0078420
2863427,XR005488
2863470,YZ023064
2863471,YZ023065
2863527,BZ006916
2863546,XV005255
2863548,XV005257
2863552,EN013909
2863553,GM015688
2863651,A0078509
2863652,A0078510
2863655,A0078513
2863710,YZ023079
2863722,BY006846
2863769,A0078543
2863835,WZ086065
2863836,WZ086066
2863837,WZ086067
2863838,WZ086068
2863839,WZ086069
2863840,WZ086070
2863865,A0078574
2863872,PZ028617
2863925,A0078594
2863948,HV018879
2863998,ID019423
2864039,A0078616
2864042,DJ013852
2864064,AI010162
2864201,WZ086085
2864202,WZ086086
2864203,WZ086087
2864204,WZ086088
2864387,XI005975
2864484,RX008947
2864494,DP005639
2864687,FH023255
2864701,A0078795
2864702,A0078796
2864746,XH006615
2864753,XH006622
2864841,HX019553
2864842,HX019554
2864910,AC007494
2864936,A0078872
2865029,XH006642
2865043,XH006646
2865060,A0078912
2865068,AH007868
2865069,XH006651
2865070,XH006652
2865135,YZ023111
2865138,YZ023114
2865279,XG005219
2865287,HK009545
2865396,A0078991
2865434,HX019560
2865586,TW011982
2865919,YD011262
2865953,OU006525
2866006,A0079219
2866199,RY011874
2866221,A0079263
2866259,TU034806
2866290,OU006563
2866291,OU006564
2866417,YC012168
2866446,WB030396
2866449,WB030399
2866461,YY005127
2866484,FP018542
2866524,DP005669
2866527,DP005672
2866606,DP005680
2866674,A0079337
2866725,AI010212
2866763,A0079368
2866843,VO004319
2866872,XH006667
2866921,AY005598
2866940,AH007879
2867012,AY005603
2867070,A0079463
2867075,YZ023168
2867100,YF009965
2867101,YF009966
2867102,BJ008479
2867106,A0079475
2867128,XM004829
2867146,XH006682
2867147,XH006683
2867163,TU034829
