item_id,manage_number
2839211,A0071628
2839661,PG027246
2839734,YA010401
2839877,XH006353
2839878,XH006354
2839879,XH006355
2839892,FH022959
2840084,WB030106
2840111,WB030110
2840224,XJ005085
2840279,A0071891
2840318,AY005403
2840420,A0071915
2840621,XT002901
2840633,HZ016354
2840751,KJ015220
2840971,A0072047
2841078,YY004945
2841194,A0072077
2841245,FH022967
2841330,FH022968
2841407,XH006385
2841411,DD020208
2841467,GE016910
2841527,XI005794
2841912,EN013788
2842169,A0072396
2842234,RZ006933
2842255,EF017567
2842385,YD011116
2842467,VU007026
2842663,XH006396
2842714,OU006226
2842927,CR022886
2842928,CR022887
2842973,CR022890
2842984,FU026808
2842986,GE016939
2843005,DV017703
2843087,VU007034
2843104,A0072704
2843161,RA014161
2843241,YY004979
2843414,A0072778
2843642,BU006716
2843772,PG027260
2843845,XR005334
2844129,SD015276
2844321,FH023035
2844546,WB030133
2844549,A0073013
2844550,A0073014
2844581,A0073030
2844700,IY015668
2845004,DU013864
2845102,A0073164
2845135,PG027282
2845136,PG027283
2845140,PG027287
2845154,DU013866
2845438,A0073234
2845738,AD009871
2845741,IW016805
2845782,A0073381
2845805,EX013898
2845840,XM004652
2845890,XO006849
2845918,FU026846
2845943,A0073424
2845987,A0073428
2846386,YY004997
2846395,AG008336
2846557,DJ013660
2846564,TW011819
2846657,RX008872
2846666,PF021544
2846712,AD009900
2846822,BW007865
2846877,WU004968
2846918,WU004971
2847089,ID019262
2847090,ID019263
2847132,RI007275
2847480,A0073871
2847607,TP011445
2847660,YZ022820
2847790,RZ006963
2847845,GZ018490
2848014,DU013886
2848464,A0074135
2848482,IY015748
2848819,HV018777
2849254,EN013819
2849330,A0074356
2849414,A0074368
2849908,FH023086
2849923,RT011544
2849931,RT011552
2850004,GN018628
2850145,ID019280
2850221,A0074589
2850222,A0074590
2850223,A0074591
2850224,A0074592
2850225,A0074593
2850382,FH023099
2850673,A0074716
2850850,KJ015241
2850907,A0074797
2851034,A0074844
2851081,BW007891
2851152,YZ022889
2851269,AY005481
2851270,AY005482
2851364,XM004695
2851365,XM004696
2851662,EE012538
2851773,PG027378
2851814,A0075036
2851818,A0075040
2851856,XM004707
2852003,PA020090
2852132,MC016971
2852196,XP005327
2852212,DU013911
2852215,DU013914
2852387,CR022941
2852477,EN013830
2852605,HX019446
2852675,TW011859
2852746,WU005022
2852824,HZ016390
2852931,BY006774
2853088,DP005564
2853126,A0075444
2853142,AI010016
2853234,A0075457
2853258,OZ016015
2853298,XB005508
2853330,A0075475
2853346,PA020095
2853347,PA020096
2853435,WP009564
2853524,A0075518
2853578,PG027431
2853579,PG027432
2853580,PG027433
2853622,A0075547
2853751,OZ016023
2853753,OZ016025
2854100,PA020102
2854158,A0075768
2854218,A0075811
2854321,A0075885
2854417,RG010229
2854420,RG010232
2854614,EF017710
2854623,TU034632
2854842,XM004736
2855166,BZ006875
2855189,IW016896
2855192,A0076099
2855281,TU034646
2855375,WZ085930
2855376,WZ085931
2855377,WZ085932
2855406,EF017716
2855407,A0076140
2855454,WZ085969
2855499,WZ085970
2855622,YY005074
2855675,YD011187
2855882,A0076241
2855883,A0076242
2855886,RV008161
2855898,VO004271
2855899,VO004272
2855904,EF017730
2856093,A0076300
2856121,RT011583
2856209,ID019330
2856275,BY006792
2856547,PG027453
2856585,TW011888
2856594,A0076495
2856785,A0076540
2856849,ID019358
2857138,TP011481
2857175,RY011791
2857176,RY011792
2857319,PY021229
2857324,PY021234
2857351,FU026985
2857482,AD009988
2857483,AD009989
2857524,A0076753
2857541,FU026987
2857542,FU026988
2857543,FU026989
2857544,FU026990
2857546,FU026992
2857621,XH006551
2857926,BY006817
2858036,XH006559
2858157,DV017754
2858349,FU026997
2858440,PY021247
2858616,YZ023004
2858658,A0077059
2858756,HV018810
2858849,VM006396
2858993,A0077181
2859053,YC012087
2859279,XO007045
2859280,VX007034
2859553,A0077352
2859786,ID019393
2859875,AD010012
2859913,A0077428
2859920,BW007916
2859936,PF021563
2860005,A0077453
2860125,A0077469
2860148,NU024705
2860185,FN015883
2860199,YP013252
2860332,XH006574
2860333,XH006575
2860451,VO004310
2860464,PG027498
2860729,PF021567
2860843,HX019533
2860965,AC007436
2860985,PG027503
2861047,A0077727
2861151,RY011819
2861188,YD011210
2861225,A0077782
2861226,A0077783
2861246,XH006578
2861276,TU034726
2861315,EF017760
2861359,YD011212
2861360,YD011213
2861402,PO020221
2861417,A0077827
2861526,AY005563
2861562,A0077882
2861578,TM023835
2861603,RY011825
2861612,RV008216
2861650,A0077906
2861691,XP005381
2861765,YD011221
2861766,YD011222
2861772,YZ023053
2861825,PZ028613
2861878,A0077953
2861926,FU027032
2861932,A0077975
2861950,XH006599
2862103,A0078030
2862106,HX019547
2862195,YP013287
2862366,BY006834
2862367,BY006835
2862385,BW007960
