item_id,manage_number
2863558,EX013990
2863559,EX013991
2863571,DJ013832
2863607,A0078497
2863639,BJ008458
2863749,CR023005
2863752,CR023008
2863775,AX006057
2863786,BZ006927
2863883,ID019412
2863932,XV005262
2864008,EN013916
2864075,NP017747
2864407,A0078710
2864553,IY015889
2864556,A0078740
2864732,A0078806
2864889,A0078857
2865242,A0078960
2865430,HX019556
2865585,TW011981
2865724,VM006507
2865726,VM006509
2865728,VM006511
2865730,VM006513
2865731,VM006514
2865764,VM006515
2865785,XJ005226
2865833,YD011252
2865835,AC007502
2865887,A0079187
2865908,RV008268
2866001,PG027511
2866110,YF009953
2866150,TU034787
2866213,A0079262
2866215,XS004522
2866336,HX019593
2866557,CR023018
2866608,DP005682
2866759,A0079365
2866877,PG027530
2866886,HK009565
2866937,NP017766
2867023,A0079441
2867024,A0079442
2867086,AH007888
2867220,AY005612
2867232,AY005624
2867251,A0079500
2867287,EF017776
2867289,EF017778
2867342,YY005132
2867359,XS004528
2867471,A0079536
2867605,ID019465
2867607,ID019467
2867608,ID019468
2867702,BU006857
2867778,BV007637
2867996,SU016129
2868065,MC017105
2868106,PG027567
2868269,BW008024
2868280,XV005296
2868355,XJ005246
2868617,PG027569
2868618,PG027570
2868619,PG027571
2868620,PG027572
2868621,PG027573
2868622,PG027574
2868623,PG027575
2868660,VR004384
2868675,A0079828
2868744,A0079859
2869383,VM006541
2869384,VM006542
2869407,BJ008493
2869546,A0080120
2869552,YF010000
2869615,WU005137
2869635,A0080153
2869662,A0080176
2869689,A0080185
2869753,A0080235
2869787,A0080247
2869791,EN013937
2869996,XR005560
2870071,BZ006958
2870244,PG027610
2870343,A0080403
2870346,A0080406
2870350,XW003650
2870417,A0080442
2870438,A0080455
2870540,XO007173
2870664,XO007199
2870692,PG027619
2870764,A0080539
2871133,A0080655
2871156,RV008290
2871158,RV008292
2871169,XA007196
2871171,OZ016085
2871198,PG027639
2871199,PG027640
2871200,PG027641
2871342,YY005167
2871751,PX013831
2871762,RT011741
2871764,RT011743
2872001,XY007175
2872202,XY007181
2872321,A0080964
2872463,YF010057
2872931,RX008998
2873165,GJ021519
2873182,EN013953
2873197,YZ023279
2873430,WB030491
2873512,VU007232
2873544,AI010295
2873578,XI006046
2873756,ID019525
2873772,WA011519
2873979,A0081310
2874055,PG027682
2874092,A0081359
2874093,A0081360
2874094,A0081361
2874095,A0081362
2874173,XM004934
2874225,YA010589
2874226,YA010590
2874267,YA010621
2874268,YA010622
2874290,YA010644
2874359,IW017062
2874499,YV010118
2874556,A0081475
2874665,A0081525
2874741,PN010618
2874940,A0081588
2875027,DV017901
2875030,DV017904
2875033,DV017907
2875034,DV017908
2875110,FH023431
2875226,XH006744
2875234,YD011343
2875242,A0081634
2875268,XR005598
2875325,XB005630
2875363,A0081666
2875397,WZ086113
2875425,YD011359
2875518,PI022339
2875545,NP017825
2875688,BJ008541
2875700,A0081743
2875775,EN013972
2875828,HK009603
2875926,PG027687
2875944,A0081832
2875993,TU034971
2876041,A0081857
2876141,XI006062
2876382,IY015973
2876501,A0081958
2876543,RI007417
2876569,OU006778
2876570,OU006779
2876716,GN018705
2876899,CR023048
2876918,XM004952
2876927,XM004961
2877051,RV008339
2877052,RV008340
2877122,FP018642
2877129,FP018649
2877199,AI010329
2877214,AI010340
2877274,A0082247
2877366,A0082279
2877369,A0082282
2877429,XP005454
2877478,YZ023383
2877480,OZ016129
2877552,AW007754
2877557,A0082325
2877732,RZ007133
2877759,FU027293
2877795,AI010361
2878001,A0082444
2878125,A0082487
2878216,CR023071
2878233,A0082520
2878234,A0082521
2878296,AW007773
2878300,A0082541
2878301,A0082542
2878425,WU005216
2878429,WU005220
2878550,AX006129
2878637,A0082678
2878667,XV005371
2878690,XH006785
2878716,A0082709
2878746,A0082717
2878769,PG027768
2878778,A0082732
2878781,A0082735
2878877,XO007286
2878898,FN016032
2878925,A0082807
2879070,A0082865
2879076,A0082871
2879187,XA007225
2879213,A0082923
2879225,HZ016480
2879249,TM023859
2879272,FP018671
2879287,XW003726
2879288,XW003727
2879291,XW003730
2879486,IY015986
2879610,YE009457
2879722,DE017234
2879726,A0083019
2879727,A0083020
2879756,A0083024
2879801,VR004424
2879866,XR005610
2879872,GZ018636
2879903,A0083078
2880006,A0083125
2880110,A0083161
2880342,A0083238
2880447,A0083273
2880516,WA011557
2880522,BU007021
2880548,WN007775
2880598,A0083310
2880749,A0083362
2880768,A0083366
2880806,CR023078
2880856,A0083381
2880857,A0083382
2880858,A0083383
2880867,IY016013
2880877,WZ086162
2880878,WZ086163
2880879,WZ086164
2880880,WZ086165
2880881,WZ086166
2880905,A0083392
2880936,A0083393
2880993,TP011530
2880994,TP011531
2881038,OU006793
2881045,WZ086219
2881046,WZ086220
2881047,WZ086221
2881048,WZ086222
2881050,WZ086224
2881051,WZ086225
2881053,WZ086227
2881054,WZ086228
2881055,WZ086229
2881056,WZ086230
2881057,WZ086231
2881058,WZ086232
2881059,WZ086233
2881061,WZ086235
2881062,WZ086236
2881063,WZ086237
2881073,WZ086238
2881074,WZ086239
2881080,WA011566
2881081,WA011567
2881082,WA011568
2881108,A0083432
2881128,BV007691
2881133,BV007696
2881134,BV007697
2881212,RX009016
2881241,BJ008591
2881242,BJ008592
2881310,NP017847
2881322,A0083473
2881340,A0083483
2881394,BU007043
2881468,CR023087
2881473,CR023092
2881474,CR023093
2881477,ID019561
2881502,CR023096
2881518,TU035022
2881538,XV005391
2881543,XV005396
2881545,XV005398
2881560,CR023101
2881603,RY011957
2881618,FH023478
2881619,FH023479
2881633,TW012174
2881656,DU014027
2881741,ID019563
2881758,XA007265
2881795,YA010684
2881807,A0083622
2881831,A0083639
2881832,A0083640
2881833,A0083641
2881848,IY016023
2881849,IY016024
2881852,IY016027
2881855,IY016030
2881860,IY016035
2881863,IY016038
2881927,A0083681
2881969,A0083697
2881978,A0083706
2881990,A0083717
2881991,A0083718
2882008,A0083733
2882020,RY011971
2882073,BU007054
2882078,BU007058
2882132,A0083764
2882164,A0083771
2882177,AD010165
2882212,AD010169
2882214,AD010171
2882215,AD010172
2882216,EN014001
2882220,YY005228
2882232,XO007324
2882248,AD010174
